Index,Title,URL,Album ID,Track Count
67,NOMICRONS by The Culprits,https://rsteviemoore.bandcamp.com/album/nomicrons-by-the-culprits,3936148378,10
68,FRINGE CRINGE,https://rsteviemoore.bandcamp.com/album/fringe-cringe,458507641,10
69,The Unaware Are Unaware That They're Unaware v4,https://rsteviemoore.bandcamp.com/album/the-unaware-are-unaware-that-theyre-unaware-v4,1414140910,28
70,The Unaware Are Unaware That They're Unaware v3 Ausfart,https://rsteviemoore.bandcamp.com/album/the-unaware-are-unaware-that-theyre-unaware-v3-ausfart,1173184633,21
71,The Unaware Are Unaware That They're Unaware v2 Bricolage,https://rsteviemoore.bandcamp.com/album/the-unaware-are-unaware-that-theyre-unaware-v2-bricolage,2925023736,24
72,The Unaware Are Unaware That They're Unaware  v1,https://rsteviemoore.bandcamp.com/album/the-unaware-are-unaware-that-theyre-unaware-v1,1652238445,24
73,R Stevie Moore Massage Parlor,https://rsteviemoore.bandcamp.com/album/r-stevie-moore-massage-parlor,869085476,34
74,erolaG seibboHHobbies GaloReversed,https://rsteviemoore.bandcamp.com/album/erolag-seibbohhobbies-galoreversed,615742146,24
75,9 Lives Dream,https://rsteviemoore.bandcamp.com/album/9-lives-dream,1802112008,41
76,LMAO IN FEAR,https://rsteviemoore.bandcamp.com/album/lmao-in-fear,141318235,28
77,PAPER FIBER  &nbsp;&nbsp; &nbsp; &nbsp;&nbsp;dba Ratings-devouring Behemoths           a/k/a CHEW SLOW,https://rsteviemoore.bandcamp.com/album/paper-fiber-nbsp-nbsp-nbsp-nbsp-nbsp-dba-ratings-devouring-behemoths-a-k-a-chew-slow,2146477310,31
78,CONCERN,https://rsteviemoore.bandcamp.com/album/concern,2091922029,27
79,Genial: Stare Case Collar Guard,https://rsteviemoore.bandcamp.com/album/genial-stare-case-collar-guard,4230806906,25
80,BULLSHIT PIE (draft),https://rsteviemoore.bandcamp.com/album/bullshit-pie-draft,2868510313,27
81,Giant Green Jar (draft),https://rsteviemoore.bandcamp.com/album/giant-green-jar-draft,1994413616,27
82,Eviction Anniversary Souvenir Plaque (daft),https://rsteviemoore.bandcamp.com/album/eviction-anniversary-souvenir-plaque-daft,2494136788,23
83,Fake Hit (draft) hold my beer,https://rsteviemoore.bandcamp.com/album/fake-hit-draft-hold-my-beer,1833354465,25
84,fake hip,https://rsteviemoore.bandcamp.com/album/fake-hip,3996772759,57
85,Worst That Could Happen (drafty),https://rsteviemoore.bandcamp.com/album/worst-that-could-happen-drafty,3978997132,23
